Price~Bedrooms~Bathrooms~Size~Street Address~Neighborhood~Borough
$1,690/mo~1bd~1ba~~827 Nostrand Ave #8~Crown Heights~ Brooklyn, NY
$2,500/mo~1bd~1ba~~846 Manhattan Ave #4~Greenpoint~ Brooklyn, NY
$1,550/mo~1bd~1ba~600 sqft~1315 W 7th St #A6~Bensonhurst~ Brooklyn, NY
$1,700/mo~1bd~1ba~~2533 Church Ave #2B~Flatbush~ Brooklyn, NY
$1,550/mo~1bd~1ba~~402 Foster Ave #D5~Ocean Parkway~ Brooklyn, NY
$1,625/mo~1bd~1ba~735 sqft~416 E 17th St #1F~Flatbush~ Brooklyn, NY
$1,900/mo~1bd~1ba~400 sqft~1145 Dean St #9~Crown Heights~ Brooklyn, NY
$2,650/mo~1bd~1ba~650 sqft~31 Park Pl~Park Slope~ Brooklyn, NY
$2,250/mo~1bd~1ba~600 sqft~457 7th Ave #2R~Park Slope~ Brooklyn, NY
$1,775/mo~1bd~1ba~~674 Lincoln Pl #12~Crown Heights~ Brooklyn, NY
$2,150/mo~1bd~1ba~~452 Park Pl #2K~Crown Heights~ Brooklyn, NY
$1,600/mo~1bd~1ba~700 sqft~505 E 22nd St #1A~Flatbush~ Brooklyn, NY
$3,675/mo~4bd~2ba~~989 Bedford Ave #2R~Bedford Stuyvesant~ Brooklyn, NY
$2,150/mo~2bd~1ba~1,000 sqft~Address Not Disclosed~Bensonhurst~ Brooklyn, NY
$1,900/mo~2bd~1ba~650 sqft~Address Not Disclosed~Bensonhurst~ Brooklyn, NY
$2,775/mo~4bd~1ba~~1181 Putman Ave #2B~Bedford Stuyvesant~ Brooklyn, NY
$2,900/mo~2bd~1ba~900 sqft~31 Brooklyn Ave #2D~Bedford Stuyvesant~ Brooklyn, NY
$3,400/mo~2bd~1ba~575 sqft~321 20th St #1R~Greenwood~ Brooklyn, NY
$2,695/mo~2bd~1ba~955 sqft~9101 Shore Rd #214~Fort Hamilton~ Brooklyn, NY
$2,600/mo~2bd~1ba~~227 94th St #3R~Fort Hamilton~ Brooklyn, NY
$2,900/mo~2bd~1ba~900 sqft~491 Greene Ave #1~Bedford Stuyvesant~ Brooklyn, NY
$2,850/mo~2bd~1ba~~1617 Dorchester Rd #3~Flatbush~ Brooklyn, NY
$2,995/mo~2bd~1ba~~204 Jefferson Ave #1~Bedford Stuyvesant~ Brooklyn, NY
$2,400/mo~2bd~1ba~~975 Liberty Ave #C3~East New York~ Brooklyn, NY
$1,400/mo~Studio~1ba~~800 E 4th St #2F~Kensington~ Brooklyn, NY
$1,400/mo~1bd~1ba~3,660 sqft~Address Not Disclosed~Dyker Heights~ Brooklyn, NY
